subtitleId:ID(Subtitle),name,url,:LABEL
-100214400933498222,"By age group and sex, year ended June 2012",https://figure.nz/chart/vqjmIXpB4jmQ7cmU-bxrfcrF512rPIlIu,Subtitle
-1011632018598592233,2001–2015,https://figure.nz/chart/4N60ufl6kRA0eD5v-kD7BXsbFZOp32kLB,Subtitle
-1015207004046154399,"2011 Q1–2016 Q3, % change from previous quarter",https://figure.nz/chart/vI3IY2L76B6dB8F6-9ycclPoyZh642V9O,Subtitle
-1018655620969287753,"By deprivation quintile, year ended June 2016, % of eligible children within group",https://figure.nz/chart/IWzQjuySCJsIw54P-uVJUMZi1VETheeKN,Subtitle
-1060057733306520159,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-HiZpipIbMROaTcoI,Subtitle
-1081371478725046456,"By District Health Board, year ended June 2016, % of children within age group",https://figure.nz/chart/HYaOZPrH6WRL8yuw-YnXnjepWbIbPNQTP,Subtitle
-1085057445223178661,"By deprivation quintile, year ended June 2016, % of eligible children within group",https://figure.nz/chart/IWzQjuySCJsIw54P-BVbkhn72aB55lutT,Subtitle
-1085913194729580634,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-cRIzB4TP1BF4qcvX,Subtitle
-1087150643689485740,2001–2015,https://figure.nz/chart/4N60ufl6kRA0eD5v-0LmaIDf50A2x6R1E,Subtitle
-1098235086180983003,"2009–2012, June years",https://figure.nz/chart/B38nSBy6krZftMUn,Subtitle
-111293017088153264,"By district health board, 2011–2014, % of all children now aged 4 months-4 years",https://figure.nz/chart/3422v8XACJtoaHxZ,Subtitle
-11142625235934440,"2011 Q1–2016 Q3, % change from same quarter previous year",https://figure.nz/chart/CedWte7xjTL5Y9Xt-66BcXFpobVwfjPQV,Subtitle
-1120118305925539216,"Domestic plus international visitors, year to March 2015, NZD millions",https://figure.nz/chart/Dj5BlV11iskhdCrB-ZffjNnQ9sZxLxu4F,Subtitle
-1137267325478874014,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-y6s81lXys0kKDeMj,Subtitle
-1147241601394276849,"2013 Census, number of people employed",https://figure.nz/chart/RRCkp3KercDFyFfW-UyBH1KBEtct3Omqb,Subtitle
-1149998549454882043,"Domestic plus international visitors, year to March 2015, NZD millions",https://figure.nz/chart/Dj5BlV11iskhdCrB-npTEen0D6wFiVk8E,Subtitle
-1152614107396213879,"2011 Q1–2016 Q3, % change from previous quarter",https://figure.nz/chart/R4uQId6Yxo0rRBql-8toX8wdO2s57t3SP,Subtitle
-1154378917285736852,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-MRrAeE4h0d7cr9ry,Subtitle
-1157080870940169645,"2006 & 2013 Census years, number of people aged 15+",https://figure.nz/chart/uQ7bwVANkR0P6Jxv-hS4Fa2nV241lZK4m,Subtitle
-1157415195195316934,"2011 Q1–2016 Q3, % change from previous quarter",https://figure.nz/chart/R4uQId6Yxo0rRBql-Vlrt19i2p6TdazKJ,Subtitle
-1160715403890756679,"2011 Q1–2016 Q3, % change from previous quarter",https://figure.nz/chart/vI3IY2L76B6dB8F6-nZLqL7I233rB480j,Subtitle
