titleId:ID(Title),name,url,:LABEL
-1025178828398586559,"Health care and social assistance business births/deaths in the Whakatane District, New Zealand",,Title
-1036188890637511344,New Zealand hospitalisations for nausea and vomiting,,Title
-1041548130744590209,Diagnostic and interventional radiologists in New Zealand,,Title
-1042187403869604907,Building consents issued for new non-residential buildings in New Zealand,,Title
-1044016886373623944,"New Zealand children with excellent, very good or good health, as rated by their parent",,Title
-1044792175172669370,"Price paid by New Zealand businesses for articles of concrete, cement, and plaster",,Title
-1048658984853750975,Adults with private health insurance cover in New Zealand by self-rated health status,,Title
-106485257525881218,Health - Adults who experienced one or more types of unmet need for primary health care (time trends) 2011/12–2014/15,https://figure.nz/table/dLMX0iLOdFRSkEwp,Title
-1070284595133077940,"Price paid by New Zealand businesses for soap, cleaning preparations, and perfumes",,Title
-1089685406201429566,Health - Mean waist measurement for adults (time trends) 2006/07–2014/15,https://figure.nz/table/Qeuo2ccUPlSo970K,Title
-1090177261530762407,"Children fully immunised at age 5 years in the Southern DHB, New Zealand",,Title
-1144940514221681201,New Zealand adults experiencing recent psychological distress,,Title
-1145524105313864852,Discharges from New Zealand mental health and addiction teams to accident and emergency services ,,Title
-1149515218177260044,Price paid by New Zealand businesses for accommodation services,,Title
-1159531158894935847,"Children fully immunised at age 5 years in the Nelson Marlborough DHB, New Zealand",,Title
-1170545849545007223,New Zealand hospitalisations for intestinal infectious diseases,,Title
-1178640323516596658,"Industries of employment for people residing in Mackenzie District, New Zealand",,Title
-1186219981049784333,Price received by New Zealand businesses for special trade construction services,,Title
-1210180396134600902,Health - Adults with teeth who visited a dental health care worker in past 12 months (prevalence) 2014/15,https://figure.nz/table/x9paWmtSsJiVcPxZ,Title
-12434148452678919,"Health care and social assistance business births/deaths in the Marlborough District, New Zealand",,Title
-1243856532958961775,Health - Past-year drinkers (had alcoholic drink in the past 12 months) among adults (time trends) 2006/07–2014/15,https://figure.nz/table/jd5JWFYF1JhtMwwo,Title
-1246505233475781972,"Cigarette smoking behaviour in the Rodney Local Board Area, Auckland, New Zealand",,Title
-1252946171325997243,New Zealand hospitalisations for dorsalgia,,Title
-1254653434367543937,"Rate of intentional self-harm hospitalisation for people living in the South Canterbury DHB, New Zealand",,Title
-1264640003058148052,Core Crown spending on economic and industrial services in New Zealand by category,,Title
-1293504252859908991,Dental hygienists in New Zealand,,Title
-1294904901176751972,"Children fully immunised at age 8 months in the Waikato DHB, New Zealand",,Title
-1306784764344251008,New Zealand hospitalisations for migraine,,Title
-1328342436253827406,Price paid by New Zealand businesses for paints and varnishes,,Title
-1333113012798618105,Core Crown spending on core government services in New Zealand by category,,Title
-1336569846635251411,"Rate of cancer registrations for non-Māori for selected cancers by sex and age group, 2011",https://figure.nz/table/fOiLZUZj97tA2BlD,Title
-1347600691472328517,"Health therapy professionals in the Canterbury Region, New Zealand",,Title
-1369405604070262325,"Price received by New Zealand businesses for plants, buds, spice, and aromatic crops",,Title
-1370293580381394906,"Price paid by New Zealand businesses for audio visual services, broadcasting, and distribution services",,Title
-1371060508632459655,"Industries of employment for people residing in Ashburton District, New Zealand",,Title
-1375466439208635636,"Price received by New Zealand businesses for rent of plant, machinery, and equipment",,Title
-1380675002856925393,Health - Adults who had definite confidence and trust in GP (time trends) 2011/12–2014/15,https://figure.nz/table/4OtXrYd2MypbyEXD,Title
-1386737279388107649,Crisis respite care occupied bed nights at mental health and addiction services in New Zealand,,Title
-1409909183947718014,"Health care and social assistance business births/deaths in the Waimakariri District, New Zealand",,Title
-142169952725022336,Price paid by New Zealand businesses for accounting services,,Title
-1446637259010291092,Price paid by New Zealand businesses for clothing,,Title
-1452888921634395814,"Children fully immunised at age 18 months in the Canterbury DHB, New Zealand",,Title
-1457866023751314316,"Birth rate in the Auckland DHB, New Zealand",,Title
-1462786012817633794,Health - High blood pressure among adults (prevalence) 2014/15,https://figure.nz/table/9z4oYmYb8X0E2eCK,Title
-1463227927873610593,Discharges from New Zealand mental health and addiction teams to the education sector ,,Title
-1475083060448014893,Death rate for cancer of the uterus in New Zealand,,Title
-1478140524312774720,"Health - Publicly funded hospital procedures by health intervention type, by age and ethnic group 2013/2014",https://figure.nz/table/NMPkadiDv8xenrCM,Title
-1478942982981238255,"Industries of employment for people residing in Napier City, New Zealand",,Title
-1491443451963059268,"Employment in the health care and social assistance industry in the Waikato Region, New Zealand",,Title
-1492876165772376876,Referrals received by New Zealand mental health and addiction teams from General Practitioners,,Title
-149437828910230939,"Building consents issued for new non-residential buildings in the Northland Region, New Zealand",,Title
-1499621109459087235,New Zealand businesses who use the Internet to share information internally,,Title
-1514292954851194502,Children who had teeth extracted due to decay or infection in the past 12 months in New Zealand,,Title
-1528972035699729953,"Industries of employment for people residing in Buller District, New Zealand",,Title
-153627457132600443,Rate of intentional self-harm hospitalisation in New Zealand by District Health Board of residence,,Title
-1540979222436646668,"Birth rate in the MidCentral DHB, New Zealand",,Title
-1551687525719134078,Registered nurses (community health) in New Zealand,,Title
-1556555727017632499,"Gross Domestic Product of the Waikato Region, New Zealand",,Title
-1565001642501867458,"Industries of employment for people residing in the Hawke's Bay Region, New Zealand",,Title
-1568801393693492728,New Zealand hospitalisations for dizziness and giddiness,,Title
-1584234696299737036,"Industries of employment for people residing in Waipa District, New Zealand",,Title
-1586504723406450168,Health - Current smokers among adults (prevalence) 2014/15,https://figure.nz/table/6VS2uKh659FI4SBq,Title
-160369125058888850,"Industries of employment for people residing in Porirua City, New Zealand",,Title
-1608104705783718584,"Rate of intentional self-harm hospitalisation for people living in the Waikato DHB, New Zealand",,Title
-1612283822818732955,"Education, health and welfare services managers in the Nelson Region, New Zealand",,Title
-1614063849391388679,Intensive care inpatient or equivalent occupied bed nights at mental health and addiction services in New Zealand,,Title
-1618887969317504302,New Zealand hospitalisations for maternal care related to fetus/amniotic cavity/possible delivery problems,,Title
-1625326853956155362,"Cigarette smoking behaviour in Kapiti Coast District, New Zealand",,Title
-1647545001233650754,Price paid by New Zealand businesses for contract manufacturing services,,Title
-172053120151019807,Price received by New Zealand businesses for transport support services,,Title
-1742935256342945253,New Zealand hospitalisations for atherosclerosis,,Title
-1748731032685218157,Health - Ex-smokers among adults (prevalence) 2014/15,https://figure.nz/table/mc18i4NFNa2ABf0V,Title
-1750446024961273770,"Employment in the health care and social assistance industry in the Southland Region, New Zealand",,Title
-1761069378375509138,New Zealand hospitalisations for diseases of the blood and blood-forming organs and certain immune disorders,,Title
-177542651055072588,New Zealand hospitalisations for diseases of the eye and adnexa,,Title
-1775906265474874581,Health - Current smokers among adults (time trends) 2006/07–2014/15,https://figure.nz/table/6A5zSu0LSdWL1XQa,Title
-1775915878230818815,"Children fully immunised at age 6 months in the Lakes DHB, New Zealand",,Title
-1801869890478208834,"People with disabilities living in private households in the Otago Region, New Zealand",,Title
-1803149688824533983,"Cigarette smoking behaviour in the Taranaki Region, New Zealand",,Title
-1820324248377285869,Health - Hazardous drinkers among past-year drinkers (time trends) 2006/07–2014/15,https://figure.nz/table/KAU27tQNEz1T26dE,Title
-1820667533929049550,Labour productivity growth rate for the health care and social assistance industry in New Zealand,,Title
-1821047045917776353,Age distribution of people working in the health and general insurance industry in New Zealand,,Title
-1822246652780334197,Health - Adults who do little or no physical activity (time trends) 2006/07–2014/15,https://figure.nz/table/HdYeprudAk9eI335,Title
-1826511719249665927,"Education, health and welfare services managers in the Tasman Region, New Zealand",,Title
-1836580278015219648,"Health - Mortality by cause,sex, ethnicity, and age group 2013",https://figure.nz/table/O4hIVpxX8ZqUEmR1,Title
