:LABEL,level1Id:ID(Level1),name,url
Level1,-800626036669221161,"Methods and channels used to fill vacancies in the health care and social assistance industry in Auckland, New Zealand",https://figure.nz/chart/HhBQyzamO89imzqW-eAA0UFTJDXsu7Hcz
Level1,-7067837179894261810,Employees by business type in the health care and social assistance industry in New Zealand,https://figure.nz/chart/8WTAMu5nNYU1ePB4-dUsH2Dk6npFTIuPJ
Level1,6679065021589206617,Business types within the health care and social assistance industry in New Zealand,https://figure.nz/chart/EENi9CXZ4RuSm4Oo-B0tEnLZavurtDZj9
Level1,4153136126357581913,Enterprises in the health care services industry (other) in New Zealand,https://figure.nz/chart/8vpXvYloRqFDQXIE-brfVBi5lEtZDD8M7
Level1,-6922308868659308793,Enterprises in the health and general insurance industry in New Zealand,https://figure.nz/chart/8vpXvYloRqFDQXIE-Y8qp4ydvoXvxiV8i
Level1,2289070262994884513,Enterprises in the medical and other health care services industry in New Zealand,https://figure.nz/chart/8vpXvYloRqFDQXIE-BkcAb2atdt6PLyA2
Level1,3478378244880288574,Enterprises in the health care and social assistance industry in New Zealand,https://figure.nz/chart/8vpXvYloRqFDQXIE-Po0KoTaXpRxtCHT0
Level1,1750666408925683872,Enterprises in the allied health services industry in New Zealand,https://figure.nz/chart/8vpXvYloRqFDQXIE-EB74sXh5cMbUNIus
Level1,6576125336161267751,Enterprises in the allied health services industry (other) in New Zealand,https://figure.nz/chart/IW0xisEu03j4YW09-tqALCmWT3DvRttiV
Level1,8720217474592990377,Enterprises in the allied health services industry in New Zealand,https://figure.nz/chart/IW0xisEu03j4YW09-eMPFqzm0D6M16JeM
Level1,1510300317367285734,Enterprises in the health and general insurance industry in New Zealand,https://figure.nz/chart/IW0xisEu03j4YW09-AoOfXIQLOwa9JkDR
Level1,6648214546940276374,Employees in the health care services industry (other) in New Zealand,https://figure.nz/chart/tAQeOoJ0aDCZo3ER-Jex1NpiA21YTVLq3
Level1,-6047833959276388776,Employees in the health and general insurance industry in New Zealand,https://figure.nz/chart/tAQeOoJ0aDCZo3ER-ztbuSQ1hoU6vSL0H
Level1,6391286117838481101,Enterprises in the health care services industry (other) in New Zealand,https://figure.nz/chart/IW0xisEu03j4YW09-M6F3cq3LLp5D6t5R
Level1,-2224355798515472837,Employees in the allied health services industry (other) in New Zealand,https://figure.nz/chart/tAQeOoJ0aDCZo3ER-1RrOA1HScuiuOiCC
Level1,-2528665877930558166,Employees in the allied health services industry in New Zealand,https://figure.nz/chart/tAQeOoJ0aDCZo3ER-ybuktAFuNjJdtAt8
Level1,-8732466119691306406,Employees in the health insurance industry in New Zealand,https://figure.nz/chart/tAQeOoJ0aDCZo3ER-9bdOXSe3jAm30HBx
Level1,-1244387575472197751,Enterprises in the health insurance industry in New Zealand,https://figure.nz/chart/IW0xisEu03j4YW09-wuMRD9WxrXawxSA8
Level1,7266873671265161373,Enterprises in the health and fitness centres and gymnasia operation industry,https://figure.nz/chart/IW0xisEu03j4YW09-5VrtIeTcpVqd92Tf
Level1,1365740329459876272,Enterprises in the medical and other health care services industry in New Zealand,https://figure.nz/chart/IW0xisEu03j4YW09-358w5jqNlpXN26qU
Level1,-2389691981952362838,Enterprises in the health care and social assistance industry in New Zealand,https://figure.nz/chart/IW0xisEu03j4YW09-AOvkSl089q3XoADm
Level1,-6470990903961863140,Employees in the health care and social assistance industry in New Zealand,https://figure.nz/chart/tAQeOoJ0aDCZo3ER-r6tDmHbQw5CMEIS7
Level1,-4178186044789463636,Employees in the health and fitness centres and gymnasia operation industry in New Zealand,https://figure.nz/chart/tAQeOoJ0aDCZo3ER-JiTcozHuUTy4M2RO
Level1,2739004591153868085,Employees in the medical and other health care services industry in New Zealand,https://figure.nz/chart/tAQeOoJ0aDCZo3ER-OqCUnOpW9ruf7R11
Level1,-7093380545386074572,Businesses with overseas equity in the health care and social assistance industry in New Zealand,https://figure.nz/chart/27oqKaExLhTpNTxw-YJ7JvNBKaY6P755I
Level1,-8230138457708887321,Health care and social assistance business births/deaths in New Zealand,https://figure.nz/chart/ds7lnZDk8lUK0dZo-lSD9BKNNtvARmnFX
Level1,-2713833948912949817,"Health care and social assistance business births/deaths in the Whanganui District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-d8Jit10ypM2JKHEp
Level1,4861581473641195271,"Health care and social assistance business births/deaths in the New Plymouth District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-VDMXlOLKznunKmYD
Level1,-4077666330496406984,"Health care and social assistance business births/deaths in Nelson City, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-W6ocMpQO0NsaoJ2X
Level1,1418006332910571579,"Health care and social assistance business births/deaths in Napier City, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-48QP9A8buHQ5Pbis
Level1,-779333924076914277,"Health care and social assistance business births/deaths in the Whangarei District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-7XWmlbMRFfD9jL7J
Level1,-9026864581643525199,"Health care and social assistance business births/deaths in the Whakatane District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-WKY3EOjqZJ9Ufhfw
Level1,2331615812399069303,"Health care and social assistance business births/deaths in the Waipa District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-lbWwcIvoE5Oc9vcS
Level1,-8764139151214258370,"Health care and social assistance business births/deaths in the Otago Region, New Zealand",https://figure.nz/chart/4N60ufl6kRA0eD5v-4wB5HSxXKHlXDXZX
Level1,-5310850046061814418,"Health care and social assistance business births/deaths in Wellington City, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-PeAWuhqi6JiJJ9ws
Level1,6118042292917759080,"Health care and social assistance business births/deaths in the Timaru District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-SJvpNO4Brp1m9dae
Level1,5812207779479703633,"Health care and social assistance business births/deaths in Tauranga City, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-fuMkD332k0UFk4oo
Level1,7233246472729756425,"Health care and social assistance business births/deaths in the Taupo District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-eYEX50qHk3BDLuhU
Level1,-6956681122795750154,"Health care and social assistance business births/deaths in the Waikato District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-RZHVJ4pfpRWwVMjS
Level1,946014948769129954,"Health care and social assistance business births/deaths in the Tasman District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-WzeKB8dLBpRyiQsX
Level1,8041221892699471296,"Health care and social assistance business births/deaths in the Waimakariri District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-ucTiB3NeDY0paW68
Level1,421395558722241920,"Health care and social assistance business births/deaths in the Queenstown-Lakes District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-f5BNbmpaMcTrzLRr
Level1,6502588112974934589,"Health care and social assistance business births/deaths in Palmerston North City, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-BcwnLHP87Rcolq1l
Level1,6919987497024883569,"Health care and social assistance business births/deaths in Porirua City, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-FT9dELu3oaL2J11k
Level1,1888820995145860710,"Health care and social assistance business births/deaths in the Selwyn District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-E1YLvbuyU5lc2XcO
Level1,6496933127210113240,"Health care and social assistance business births/deaths in the Rotorua District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-AeZPYcHxYhsUki6e
Level1,-3087106297530196526,"Health care and social assistance business births/deaths in the Kapiti Coast District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-48JDcvmxYeEd14Cz
Level1,8817316715843395901,"Health care and social assistance business births/deaths in Auckland, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-SsqhknRnYO2IXo6e
Level1,-4712998789662947809,"Health care and social assistance business births/deaths in Christchurch City, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-DtvuHzKs7zvL8mVz
Level1,3455330761259607857,"Health care and social assistance business births/deaths in the Hastings District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-VU19EEwsDVnRFKju
Level1,-782349042500212986,"Health care and social assistance business births/deaths in Hamilton City, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-zl9fkId3tWVVDRim
Level1,-7842896140833011297,"Health care and social assistance business births/deaths in the Far North District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-NBLn9CKSm6381cta
Level1,4492505119998175768,"Health care and social assistance business births/deaths in the Gisborne District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-yCBCd8T5INFe3zrd
Level1,-7915064193955355923,"Health care and social assistance business births/deaths in Dunedin City, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-UYKunCfUkxN18RfS
Level1,8316219357146938397,"Health care and social assistance business births/deaths in Invercargill City, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-jnRcn5okPOePNLJB
Level1,-3025494408257515552,"Health care and social assistance business births/deaths in the Marlborough District, New Zealand",https://figure.nz/chart/ds7lnZDk8lUK0dZo-xLKiamLuvE7K9VdS
